,Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
76,2371,Majok Deng,SR,2015-16,F,Louisiana-Monroe,Sun Belt,31,1126,36.3,6.2,13.0,4.3,7.9,1.9,5.1,4.1,5.0,1.6,5.4,7.0,1.9,0.7,1.6,2.2,2.5,18.4,23.4,.598,.551,5.4,16.6,11.2,11.3,1.2,5.1,12.5,25.1,520,118.1,101.6,3.4,1.7,5.0,3.4,1.5,4.9
77,2372,Vaughn Duggins,SR,2010-11,G,Wright State,Horizon,33,1160,35.2,6.1,13.7,5.0,10.1,1.1,3.6,4.6,5.6,1.0,2.8,3.8,2.2,1.5,0.1,1.6,1.7,18.0,24.4,.549,.488,3.7,11.7,7.5,17.1,2.8,0.3,9.1,29.2,564,113.4,100.0,3.7,1.7,5.4,4.4,0.5,4.9
78,2373,Kellen Dunham,SR,2015-16,G,Butler,Big East,33,1069,32.4,5.0,11.5,2.4,5.3,2.6,6.2,3.5,4.2,0.5,2.0,2.5,1.5,0.7,0.1,1.5,1.7,16.2,18.3,.602,.553,1.6,7.3,4.5,8.7,1.2,0.3,10.1,22.9,467,121.0,108.4,3.1,0.9,4.0,5.9,-1.0,4.9
79,2374,Jarell Eddie,SO,2011-12,F,Virginia Tech,ACC,33,900,27.3,2.8,6.6,1.2,2.9,1.6,3.7,1.8,2.1,0.5,4.3,4.8,1.4,0.5,0.4,1.4,3.1,9.1,15.7,.595,.548,2.3,20.5,11.0,11.0,1.2,1.7,15.8,17.8,273,113.6,98.2,1.8,1.4,3.2,3.2,1.7,4.9
80,2375,Perry Ellis,FR,2012-13,F,Kansas,Big 12,37,503,13.6,2.1,4.3,2.0,4.2,0.1,0.1,1.7,2.3,1.2,2.7,3.9,0.6,0.4,0.3,0.5,1.3,5.8,22.3,.540,.481,11.4,21.3,16.7,8.3,1.8,2.1,9.1,22.3,213,118.2,89.2,1.6,1.2,2.7,2.4,2.5,4.9
81,2376,Nick Emery,FR,2015-16,G,Brigham Young,WCC,36,1132,31.4,5.6,13.3,2.9,6.3,2.7,7.0,2.3,2.7,0.5,3.0,3.5,2.5,1.4,0.1,1.5,2.8,16.3,18.8,.559,.526,1.7,9.9,5.8,14.4,2.5,0.4,9.2,23.7,527,115.4,100.9,2.8,1.8,4.6,4.4,0.5,4.9
82,2377,Amdy Fall,JR,2014-15,F,St. Francis (NY),NEC,29,676,23.3,1.9,4.0,1.9,4.0,0.0,0.0,2.6,3.7,1.9,3.1,5.0,0.7,0.8,2.8,1.3,2.9,6.5,19.2,.562,.483,8.8,15.8,12.1,5.5,2.0,12.4,18.5,15.1,190,110.9,91.9,1.1,1.5,2.6,-2.0,6.9,4.9
83,2378,Chase Fieler,SR,2013-14,F,Florida Gulf Coast,A-Sun,35,1003,28.7,5.3,9.7,4.8,8.1,0.5,1.7,2.7,3.9,2.5,4.9,7.4,1.6,0.8,0.9,1.6,3.1,13.9,24.4,.602,.575,10.5,18.7,14.8,11.9,1.6,3.5,11.9,23.5,475,120.8,95.6,3.1,2.1,5.3,2.8,2.1,4.9
84,2379,Kenny Gaines,SO,2013-14,G,Georgia,SEC,32,907,28.3,4.3,9.8,2.6,5.0,1.8,4.8,2.5,3.2,0.7,1.8,2.5,1.0,0.7,0.7,1.3,2.4,13.0,18.2,.573,.535,2.9,7.0,5.1,8.4,1.5,2.9,10.0,23.0,364,118.2,106.4,2.3,1.0,3.3,4.6,0.3,4.9
85,2380,Rashad Green,JR,2010-11,G,San Francisco,WCC,30,866,28.9,3.9,8.8,3.1,6.0,0.9,2.8,3.8,4.7,1.8,4.0,5.8,3.0,1.1,0.2,2.7,2.3,12.5,20.4,.567,.496,7.2,14.9,11.2,22.2,2.2,0.9,19.5,24.0,392,109.2,101.0,2.0,1.2,3.2,3.2,1.7,4.9
88,2381,Skyler Halford,SR,2014-15,G,Brigham Young,WCC,34,624,18.4,2.8,5.7,1.2,2.5,1.5,3.2,1.7,2.0,0.3,1.5,1.8,2.3,0.7,0.0,1.5,1.9,8.8,20.1,.662,.619,1.8,8.9,5.5,23.3,2.2,0.0,18.4,21.5,282,122.3,105.8,2.0,0.6,2.6,6.2,-1.2,4.9
89,2382,Leyton Hammonds,SR,2016-17,F,Oklahoma State,Big 12,33,739,22.4,2.9,6.6,1.8,3.3,1.1,3.3,1.2,1.4,1.4,3.5,4.9,0.7,0.6,0.4,1.0,3.6,8.1,14.4,.555,.521,6.8,18.8,12.6,5.2,1.6,2.1,12.4,17.2,252,116.9,108.3,1.4,0.6,2.1,3.7,1.2,4.9
90,2383,Patrick Heckmann,SO,2012-13,G,Boston College,ACC,33,769,23.3,2.5,5.4,1.2,2.0,1.3,3.4,1.8,2.3,0.4,2.0,2.5,1.5,0.9,0.4,1.2,2.4,8.0,17.0,.620,.573,2.3,11.6,6.9,13.5,2.5,1.7,16.1,18.3,249,116.0,107.3,1.8,0.5,2.3,4.5,0.4,4.9
91,2384,Kasey Hill,FR,2013-14,G,Florida,SEC,32,700,21.9,1.8,4.4,1.6,3.3,0.2,1.1,1.8,2.7,0.3,1.7,1.9,3.1,1.2,0.2,1.6,2.1,5.5,13.0,.487,.425,1.6,9.0,5.4,27.2,3.4,0.8,21.7,17.7,210,101.6,92.8,0.6,1.7,2.3,0.6,4.3,4.9
92,2385,Je'lon Hornbeak,FR,2012-13,G,Oklahoma,Big 12,32,725,22.7,1.6,4.3,0.8,2.0,0.8,2.3,1.6,2.2,0.6,2.1,2.7,1.7,1.0,0.2,1.6,2.3,5.6,11.1,.524,.464,3.1,11.3,7.1,13.5,2.6,1.0,22.9,15.6,188,98.1,100.5,0.5,0.9,1.5,1.9,3.0,4.9
93,2386,Payton Hulsey,JR,2015-16,G,College of Charleston,CAA,31,891,28.7,2.3,5.0,2.3,4.7,0.1,0.4,0.9,1.7,1.5,4.2,5.7,3.3,1.8,0.2,1.5,2.5,5.6,15.0,.482,.468,5.6,17.9,11.5,23.3,3.8,0.7,19.9,13.4,223,103.9,90.7,0.8,2.2,3.0,-1.3,6.2,4.9
94,2387,Ian Hummer,JR,2011-12,F,Princeton,Ivy,32,1028,32.1,5.9,12.7,5.3,10.8,0.6,1.9,3.6,5.4,2.2,5.2,7.3,3.2,1.4,1.2,2.8,2.2,16.1,25.4,.526,.490,8.8,20.1,14.6,23.8,2.8,3.8,15.4,31.5,528,104.8,93.2,2.5,2.1,4.6,2.1,2.9,4.9
95,2388,Adedeji Ibitayo,SR,2014-15,G,Akron,MAC,34,660,19.4,3.1,6.9,2.0,3.9,1.1,3.0,2.6,3.6,1.1,2.0,3.1,1.0,0.9,0.4,1.1,2.2,9.9,23.6,.582,.532,6.4,11.9,9.1,11.7,2.7,2.3,11.8,26.0,310,118.2,97.3,2.2,1.2,3.4,4.1,0.7,4.9
96,2389,Wesley Iwundu,FR,2013-14,F,Kansas State,Big 12,33,780,23.6,2.2,4.7,1.9,4.2,0.2,0.5,2.2,3.4,1.3,2.9,4.2,1.8,0.6,0.4,1.3,2.2,6.7,13.9,.531,.484,6.3,14.2,10.2,15.4,1.5,1.7,16.9,16.4,232,108.6,100.4,1.0,1.3,2.3,0.5,4.4,4.9
97,2390,Roosevelt Jones,JR,2014-15,F,Butler,Big East,34,1207,35.5,4.9,11.7,4.9,11.7,0.0,0.0,2.9,4.7,2.1,3.2,5.2,3.7,0.9,0.6,2.6,2.5,12.7,15.4,.456,.421,6.8,11.1,8.9,23.0,1.6,2.0,15.8,24.6,472,98.4,97.2,1.2,2.1,3.3,0.2,4.7,4.9
98,2391,Rysheed Jordan,SO,2014-15,G,St. John's (NY),Big East,31,952,30.7,4.6,10.6,3.2,6.8,1.4,3.8,3.5,5.4,1.2,2.5,3.7,3.1,1.7,0.3,3.0,2.6,14.1,18.8,.537,.500,4.3,8.4,6.5,20.8,3.4,1.1,18.6,27.1,438,101.3,101.6,1.4,1.3,2.7,3.5,1.4,4.9
99,2392,Mindaugas Kacinas,SR,2015-16,F,South Carolina,SEC,34,995,29.3,3.7,7.3,3.1,5.4,0.6,1.9,1.8,2.8,2.0,3.1,5.1,0.9,0.5,0.5,1.0,2.1,9.9,15.3,.574,.554,7.3,11.4,9.4,6.0,0.9,1.9,10.4,15.4,315,120.8,101.9,2.1,1.4,3.5,2.7,2.2,4.9
100,2393,Halil Kanacevic,SO,2012-13,F,Saint Joseph's,A-10,26,752,28.9,3.0,7.0,2.6,5.4,0.4,1.6,2.0,2.6,2.1,5.1,7.2,3.5,0.9,1.7,3.3,3.3,8.5,17.0,.514,.464,9.0,21.2,15.2,25.9,1.9,5.8,28.4,21.6,263,95.2,96.5,0.6,1.2,1.8,-0.2,5.1,4.9
101,2394,Stanton Kidd,SR,2014-15,F,Colorado State,MWC,34,1023,30.1,4.4,9.4,3.3,6.7,1.1,2.7,1.8,2.4,2.2,2.8,5.1,1.8,0.8,0.8,1.5,2.4,11.6,18.9,.550,.522,8.5,10.9,9.7,12.9,1.7,3.2,12.3,20.6,383,114.7,99.7,2.5,1.6,4.0,3.0,1.9,4.9
102,2395,Tom Knight,SR,2012-13,F,Notre Dame,Big East,28,489,17.5,2.3,4.7,2.3,4.7,0.0,0.0,0.9,1.3,1.2,2.3,3.5,0.8,0.3,0.9,0.6,2.0,5.5,17.3,.522,.489,8.8,16.5,12.6,8.8,1.1,5.4,10.9,18.6,150,111.0,99.8,1.0,0.7,1.6,1.1,3.8,4.9
103,2396,Tyler Lamb,SO,2011-12,G,UCLA,Pac-12,33,1035,31.4,3.2,7.9,1.9,4.2,1.3,3.6,1.3,1.9,0.6,3.0,3.6,2.8,1.8,0.6,2.3,2.4,9.0,13.9,.513,.490,2.2,12.4,7.1,16.6,3.4,2.0,20.5,18.5,300,97.3,96.7,0.8,1.7,2.5,1.9,3.0,4.9
104,2397,Nate Lubick,SR,2013-14,F,Georgetown,Big East,33,825,25.0,2.2,3.7,2.2,3.7,0.0,0.0,0.8,1.5,1.2,4.2,5.4,1.7,0.7,0.6,1.2,3.1,5.1,13.0,.578,.582,6.1,19.9,13.2,12.9,1.8,2.9,21.6,11.9,187,109.2,102.5,0.8,1.2,2.1,0.7,4.2,4.9
105,2398,Vernon Macklin,SR,2010-11,F,Florida,SEC,37,905,24.5,5.2,8.7,5.2,8.7,0.0,0.0,1.2,2.8,2.2,3.2,5.4,0.8,0.4,0.7,1.7,2.5,11.6,22.2,.578,.593,10.9,15.0,13.0,7.7,0.9,3.1,14.5,25.1,382,110.0,98.5,2.2,1.4,3.6,2.8,2.1,4.9
106,2399,Marlin Mason,JR,2013-14,F,Cleveland State,Horizon,33,666,20.2,2.2,3.9,1.7,3.0,0.5,0.9,1.1,1.4,1.4,2.8,4.2,1.1,0.7,1.0,1.4,3.0,5.9,16.7,.641,.609,8.7,16.4,12.7,10.4,2.0,6.0,22.9,15.7,199,114.3,98.3,1.1,1.2,2.4,0.7,4.3,4.9
107,2400,Mikh McKinney,SR,2014-15,G,Sacramento State,Big Sky,32,1183,37.0,6.8,13.5,4.8,8.8,2.0,4.7,3.4,4.3,0.5,2.3,2.8,4.9,2.4,0.1,2.1,1.8,19.2,27.8,.617,.582,1.8,8.1,5.0,29.2,4.2,0.4,12.0,26.5,602,123.5,106.8,5.0,1.0,6.0,6.7,-1.8,4.9
0,2401,Oliver McNally,JR,2010-11,G,Harvard,Ivy,30,967,32.2,2.8,5.6,1.5,2.8,1.3,2.9,3.3,3.6,0.3,2.9,3.3,3.1,1.2,0.1,1.5,2.1,10.1,18.4,.690,.604,1.5,11.0,6.6,19.5,2.3,0.2,17.0,15.1,308,132.9,102.8,3.1,1.1,4.2,4.9,0.0,4.9
1,2402,Egidijus Mockevicius,SR,2015-16,C,Evansville,MVC,34,1082,31.8,5.7,9.0,5.7,9.0,0.0,0.0,4.3,6.2,2.5,11.4,13.9,0.3,0.8,2.8,1.6,3.2,15.7,29.0,.658,.637,10.3,39.2,26.1,1.8,1.4,9.0,11.9,22.3,470,123.2,81.7,3.4,3.6,7.0,0.4,4.6,4.9
2,2403,Jalen Moore,SO,2014-15,F,Utah State,MWC,31,1066,34.4,5.1,10.3,3.6,6.6,1.5,3.7,3.6,4.8,1.2,5.6,6.7,1.7,0.6,0.9,1.2,1.4,15.2,23.0,.603,.563,4.3,17.6,11.5,11.6,1.1,2.8,8.7,22.9,431,119.7,99.2,3.3,1.7,5.0,4.2,0.7,4.9
3,2404,Nic Moore,JR,2014-15,G,Southern Methodist,AAC,34,1179,34.7,4.6,10.9,2.3,5.5,2.3,5.4,3.1,3.4,0.2,2.1,2.3,5.1,1.3,0.0,2.6,1.9,14.5,19.3,.578,.524,0.9,6.7,4.0,31.1,2.3,0.1,16.9,23.4,494,115.9,100.0,3.4,1.8,5.2,6.0,-1.0,4.9
4,2405,Alonzo Nelson-Ododa,SO,2013-14,F,Richmond,A-10,33,885,26.8,2.2,5.2,1.8,3.9,0.4,1.3,1.4,2.6,1.5,3.9,5.4,0.8,0.8,2.4,1.4,2.7,6.2,13.9,.482,.460,6.3,16.5,11.4,6.2,1.8,9.6,17.7,15.9,215,94.0,95.0,0.1,1.9,2.1,-2.7,7.6,4.9
5,2406,Ioannis Papapetrou,FR,2012-13,F,Texas,Big 12,34,826,24.3,2.8,6.5,1.9,3.8,1.0,2.7,1.6,2.8,1.4,2.9,4.4,1.2,0.6,0.7,1.7,2.8,8.3,14.3,.525,.507,6.7,14.1,10.3,11.3,1.5,3.1,18.1,20.1,271,100.4,98.5,0.9,1.2,2.1,1.8,3.1,4.9
6,2407,Jalyn Patterson,FR,2014-15,G,Louisiana State,SEC,31,764,24.6,2.4,5.9,1.0,2.1,1.4,3.8,0.5,0.6,0.4,2.0,2.4,2.2,1.2,0.1,0.8,0.9,6.8,14.3,.544,.527,1.9,8.2,5.3,15.8,2.8,0.5,11.9,14.1,207,115.1,98.4,1.3,1.3,2.5,3.3,1.6,4.9
7,2408,Trey Porter,SO,2016-17,F,Old Dominion,CUSA,31,454,14.6,2.5,4.8,2.5,4.8,0.0,0.0,1.7,2.6,2.0,2.8,4.8,0.4,0.3,1.5,0.9,2.2,6.6,26.0,.541,.507,14.5,23.2,18.6,6.4,1.4,13.2,13.3,24.9,194,109.5,88.0,1.0,1.3,2.2,-1.7,6.6,4.9
8,2409,Rodney Purvis,JR,2015-16,G,Connecticut,AAC,36,1038,28.8,4.5,10.4,2.6,5.4,1.9,5.1,1.8,2.8,0.4,2.5,3.0,2.1,0.9,0.1,1.5,2.0,12.8,16.9,.545,.527,1.9,9.4,5.9,14.6,1.9,0.4,11.5,24.4,424,108.1,99.2,1.9,1.8,3.7,3.7,1.2,4.9
9,2410,Earnest Ross,SO,2010-11,G,Auburn,SEC,31,987,31.8,4.1,10.5,2.5,5.8,1.5,4.6,3.5,4.4,1.8,4.8,6.6,2.1,1.4,0.3,2.3,2.5,13.1,19.1,.524,.463,6.4,18.3,12.1,16.3,2.7,1.2,15.6,23.9,395,105.2,97.8,1.8,1.6,3.4,3.6,1.4,4.9
10,2411,Robert Sacre,SR,2011-12,C,Gonzaga,WCC,33,868,26.3,3.5,6.9,3.5,6.9,0.0,0.1,4.5,6.0,2.0,4.3,6.3,0.7,0.4,1.4,1.8,2.2,11.6,22.3,.595,.511,9.9,20.2,15.1,5.7,0.8,5.8,15.7,22.9,370,116.8,95.1,2.6,1.6,4.2,1.4,3.5,4.9
11,2412,Jermaine Sanders,JR,2013-14,F,Cincinnati,AAC,34,725,21.3,2.0,4.7,0.9,2.0,1.0,2.7,0.8,1.1,1.2,1.9,3.1,1.0,0.5,0.3,0.5,1.2,5.7,14.6,.548,.528,6.7,10.4,8.6,9.4,1.4,1.4,8.2,13.9,191,125.2,98.3,1.5,1.4,2.9,2.9,2.0,4.9
12,2413,Rakim Sanders,SR,2011-12,F,Fairfield,MAAC,37,1195,32.3,6.4,12.7,5.2,8.9,1.2,3.8,2.7,4.3,2.8,5.4,8.2,2.5,1.4,0.4,3.3,2.6,16.6,23.6,.564,.547,10.4,22.1,16.0,19.2,2.7,1.2,18.3,29.3,580,105.1,91.6,2.7,2.6,5.3,3.2,1.7,4.9
13,2414,Wayne Selden,SO,2014-15,G,Kansas,Big 12,36,1060,29.4,3.1,8.1,1.8,4.6,1.3,3.5,1.9,2.9,0.9,1.9,2.8,2.6,0.6,0.5,2.1,2.1,9.4,11.9,.494,.461,3.8,6.7,5.3,18.1,1.2,1.8,17.8,20.0,347,100.2,103.7,1.0,1.2,2.2,2.9,2.1,4.9
14,2415,Will Sheehey,SR,2013-14,F,Indiana,Big Ten,31,938,30.3,4.4,9.3,3.3,6.1,1.1,3.2,1.6,2.3,1.4,2.6,4.0,1.8,0.9,0.3,2.1,2.6,11.4,14.5,.550,.530,5.7,9.5,7.6,13.2,1.7,0.9,16.8,20.4,340,108.0,102.1,1.4,1.4,2.8,2.6,2.3,4.9
15,2416,Tristan Spurlock,SR,2013-14,F,Central Florida,AAC,31,883,28.5,3.7,8.9,2.2,4.4,1.5,4.5,2.1,2.7,1.8,3.6,5.5,1.2,1.2,1.1,1.3,1.9,11.0,18.9,.537,.500,6.8,14.6,10.6,8.3,2.5,3.7,11.2,19.6,322,115.5,105.0,1.8,1.1,2.9,3.1,1.8,4.9
16,2417,Markel Starks,JR,2012-13,G,Georgetown,Big East,32,1092,34.1,4.8,10.6,2.9,5.9,2.0,4.7,1.2,1.6,0.3,1.5,1.8,3.0,1.3,0.1,2.0,2.2,12.8,16.1,.565,.550,1.2,5.8,3.5,20.7,2.5,0.2,15.2,22.0,376,106.8,96.0,2.0,1.9,3.9,3.6,1.3,4.9
17,2418,Isaiah Sykes,JR,2012-13,G,Central Florida,CUSA,31,1079,34.8,5.9,12.8,5.4,11.2,0.5,1.6,3.7,6.1,2.6,4.9,7.5,4.5,2.3,0.5,3.5,2.4,16.0,23.3,.509,.477,8.9,17.4,13.0,29.3,4.0,1.3,18.3,28.3,539,104.4,97.0,2.4,1.7,4.2,2.7,2.3,4.9
18,2419,Jae'Sean Tate,FR,2014-15,F,Ohio State,Big Ten,35,771,22.0,3.6,6.1,3.5,5.6,0.1,0.5,1.5,2.9,1.9,3.1,5.0,0.3,0.9,0.6,1.2,2.5,8.8,20.2,.587,.596,10.5,15.9,13.3,3.0,2.4,3.1,13.8,20.5,282,112.8,93.9,1.7,1.6,3.3,2.4,2.5,4.9
19,2420,Bud Thomas,JR,2012-13,F,Mercer,A-Sun,36,998,27.7,2.9,6.6,1.6,2.5,1.3,4.1,0.5,1.0,1.0,3.6,4.5,2.6,1.1,0.6,1.0,2.1,7.6,17.0,.539,.542,4.6,17.0,10.7,20.9,2.5,2.6,12.7,16.2,284,113.1,93.6,1.9,1.9,3.9,2.6,2.3,4.9
22,2421,James Thompson IV,FR,2015-16,C,Eastern Michigan,MAC,33,1058,32.1,5.5,8.5,5.5,8.5,0.0,0.0,3.8,5.6,4.5,6.2,10.6,0.6,0.8,1.4,1.5,3.5,14.8,26.9,.665,.648,15.4,20.4,18.0,3.9,1.3,5.1,11.5,18.8,491,134.3,101.2,4.1,1.6,5.8,4.0,0.9,4.9
23,2422,Justin Tuoyo,JR,2015-16,F,Chattanooga,Southern,33,830,25.2,3.9,7.5,3.9,7.1,0.1,0.3,3.2,4.6,2.1,2.9,5.0,1.0,0.7,2.3,1.2,2.7,11.1,23.6,.577,.533,10.0,13.5,11.8,8.0,1.6,10.4,11.4,21.9,355,119.0,97.1,2.3,1.6,3.9,0.2,4.7,4.9
24,2423,Elston Turner,JR,2011-12,G,Texas A&M,Big 12,32,1080,33.8,4.7,11.5,2.5,5.9,2.2,5.6,2.3,2.8,0.3,3.3,3.6,2.3,1.0,0.2,2.1,1.7,13.8,16.7,.536,.501,1.0,13.2,6.8,15.5,1.8,0.8,14.0,24.1,402,104.5,100.0,1.8,1.5,3.3,3.6,1.3,4.9
25,2424,Mardracus Wade,SO,2011-12,G,Arkansas,SEC,32,920,28.8,3.3,7.1,1.1,2.5,2.2,4.6,2.1,2.5,0.8,1.1,1.8,1.5,1.5,0.1,1.3,2.1,10.8,17.1,.648,.612,3.0,4.6,3.8,10.1,3.0,0.3,13.9,16.5,308,123.3,105.1,2.4,0.8,3.2,5.8,-0.8,4.9
26,2425,AJ West,JR,2014-15,C,Nevada,MWC,30,873,29.1,4.2,8.5,4.2,8.5,0.0,0.0,3.8,5.8,5.9,5.1,11.0,0.6,0.5,2.6,2.4,2.8,12.1,27.2,.539,.492,22.3,19.4,20.9,5.3,1.1,10.0,17.6,23.9,373,108.8,99.5,2.0,1.4,3.3,1.6,3.2,4.9
27,2426,John Wilkins,SR,2012-13,G,Illinois State,MVC,33,660,20.0,2.3,4.8,1.5,2.6,0.8,2.2,1.2,1.5,1.6,1.7,3.3,0.8,0.4,0.7,1.1,2.7,6.7,15.5,.604,.569,9.0,10.2,9.6,7.0,1.0,4.0,16.0,16.6,219,116.2,103.2,1.5,0.7,2.2,3.5,1.4,4.9
28,2427,Nate Wolters,SO,2010-11,G,South Dakota State,Summit,31,1029,33.2,6.5,14.5,5.1,11.2,1.4,3.3,5.2,6.5,1.0,3.5,4.6,6.1,1.3,0.2,2.2,2.0,19.5,28.2,.555,.494,3.4,12.6,7.9,35.3,2.3,0.7,11.1,29.2,640,122.8,107.1,4.9,0.8,5.7,6.2,-1.4,4.9
29,2428,Avery Woodson,JR,2015-16,G,Memphis,AAC,32,840,26.3,3.2,7.4,0.8,1.8,2.4,5.6,0.9,1.3,0.3,2.3,2.6,1.4,0.8,0.3,0.7,2.5,9.6,14.1,.597,.586,1.2,8.8,5.0,10.5,1.7,1.1,7.9,15.4,260,121.7,100.5,1.7,1.3,3.0,4.1,0.8,4.9
30,2429,Chaisson Allen,SR,2010-11,G,Northeastern,CAA,29,1077,37.1,5.4,12.9,3.2,7.3,2.1,5.6,3.8,5.4,1.4,4.7,6.1,3.7,2.1,0.1,1.9,1.9,16.7,23.5,.539,.500,4.8,16.8,10.7,22.9,3.6,0.2,11.1,25.8,478,113.4,108.1,3.1,0.7,3.8,5.7,-0.9,4.8
31,2430,Jerime Andersen,SR,2011-12,G,UCLA,Pac-12,32,1055,33.0,3.3,7.3,2.4,5.0,0.9,2.3,1.2,2.1,0.4,2.7,3.1,4.2,1.8,0.3,1.8,1.6,8.8,15.7,.528,.515,1.5,10.7,5.9,23.6,3.3,0.9,17.9,16.1,306,107.3,98.5,1.6,1.6,3.2,2.8,2.0,4.8
32,2431,Isaiah Armwood,SR,2013-14,F,George Washington,A-10,33,1056,32.0,4.4,9.0,4.3,8.7,0.1,0.3,3.9,5.9,2.3,6.0,8.4,1.6,0.8,1.5,1.9,2.8,12.7,19.7,.540,.492,8.6,20.5,14.8,10.1,1.4,5.3,13.7,21.4,416,111.1,95.9,2.0,2.2,4.2,0.7,4.1,4.8
33,2432,Dedrick Basile,JR,2015-16,G,Cal State Bakersfield,WAC,33,966,29.3,4.6,9.8,3.1,5.6,1.5,4.2,1.3,1.8,0.7,2.7,3.3,3.7,1.8,0.2,1.8,2.4,12.0,19.5,.563,.546,2.5,10.1,6.3,25.2,3.6,0.8,14.4,21.0,385,113.2,93.4,2.1,2.2,4.3,3.4,1.4,4.8
34,2433,Daniel Bejarano,JR,2013-14,G,Colorado State,MWC,32,1084,33.9,5.1,14.1,3.2,8.1,1.9,5.9,4.2,5.3,2.3,6.1,8.3,3.3,1.1,0.6,1.8,1.8,16.3,22.2,.493,.432,7.4,21.0,14.0,21.5,2.0,1.9,9.9,27.7,529,111.6,104.0,2.7,1.5,4.1,4.0,0.8,4.8
35,2434,Daniel Bejarano,SO,2012-13,G,Colorado State,MWC,35,774,22.1,2.3,5.9,1.4,3.0,0.9,2.9,0.7,0.9,1.8,3.7,5.5,0.9,0.6,0.1,0.9,2.0,6.3,14.9,.490,.471,9.4,21.6,15.2,7.9,1.6,0.6,11.8,16.7,223,111.8,98.4,1.4,1.1,2.6,3.4,1.5,4.8
36,2435,James Bell,SO,2011-12,G,Villanova,Big East,29,667,23.0,2.3,6.0,1.0,2.2,1.3,3.7,0.9,1.2,1.3,2.6,3.8,1.3,0.7,0.3,1.3,2.6,7.0,13.5,.534,.506,6.1,13.7,9.7,11.5,1.9,1.4,16.7,16.8,197,108.0,105.7,1.0,0.5,1.6,3.2,1.6,4.8
37,2436,Matt Bohannon,SR,2015-16,G,Northern Iowa,MVC,36,1265,35.1,3.8,8.5,1.2,2.1,2.6,6.4,1.4,1.8,0.0,4.1,4.1,0.9,0.8,0.1,0.7,1.9,11.5,14.8,.619,.595,0.1,13.9,7.4,5.5,1.4,0.3,6.9,16.5,354,117.3,102.2,2.3,1.8,4.2,4.1,0.7,4.8
38,2437,Kenny Boynton,SO,2010-11,G,Florida,SEC,37,1218,32.9,4.6,11.9,2.4,5.3,2.2,6.5,2.9,3.5,0.4,1.1,1.5,2.6,0.9,0.2,1.4,1.3,14.2,17.5,.524,.476,1.5,3.7,2.6,16.1,1.6,0.8,9.6,23.8,490,115.4,103.5,3.4,1.3,4.7,5.2,-0.4,4.8
39,2438,Rob Brandenberg,JR,2012-13,G,Virginia Commonwealth,A-10,35,846,24.2,3.7,9.2,2.3,5.3,1.4,4.0,1.6,2.3,1.1,1.6,2.7,1.4,1.3,0.2,1.3,1.7,10.4,17.5,.505,.478,5.0,9.0,6.8,10.7,3.1,1.1,11.3,23.4,341,107.8,97.5,1.8,1.3,3.1,3.2,1.6,4.8
40,2439,De'Mon Brooks,SR,2013-14,F,Davidson,Southern,27,724,26.8,6.4,10.9,5.9,9.8,0.5,1.1,5.7,7.7,2.2,4.9,7.1,1.4,0.7,0.8,2.2,3.5,19.0,32.3,.653,.610,10.0,22.8,16.3,11.9,1.5,3.1,13.2,32.2,473,125.5,103.1,3.5,1.0,4.5,5.3,-0.4,4.8
41,2440,Josh Brown,JR,2015-16,G,Temple,AAC,33,1195,36.2,3.0,7.3,2.2,4.9,0.8,2.4,1.5,2.1,0.4,4.4,4.8,4.9,1.2,0.5,1.4,2.0,8.3,14.4,.505,.469,1.2,13.5,7.2,25.7,2.1,1.3,14.5,13.9,319,110.7,101.6,1.6,1.8,3.4,1.2,3.6,4.8
44,2441,Antonio Campbell,JR,2015-16,F,Ohio,MAC,35,1013,28.9,6.8,12.1,5.5,8.7,1.2,3.3,2.3,3.2,2.1,8.1,10.2,0.7,0.7,1.8,1.3,3.2,17.1,29.8,.629,.611,8.9,30.6,20.3,5.3,1.3,6.3,8.5,26.1,529,123.4,98.6,3.7,1.8,5.5,3.4,1.4,4.8
45,2442,Devin Cannady,SO,2016-17,G,Princeton,Ivy,30,944,31.5,4.1,9.9,1.4,3.3,2.7,6.6,2.5,2.7,0.3,3.3,3.6,1.8,1.1,0.3,1.2,1.9,13.4,19.2,.602,.552,1.1,12.6,6.8,11.2,2.1,1.0,9.5,21.3,362,118.9,96.3,2.5,1.9,4.3,4.2,0.7,4.8
46,2443,Javier Carter,JR,2011-12,F,South Alabama,Sun Belt,27,638,23.6,2.3,5.1,2.3,5.1,0.0,0.0,1.4,1.9,1.6,3.4,5.0,0.7,0.7,2.7,1.3,2.0,6.1,17.9,.509,.457,7.9,17.5,12.5,5.9,1.9,12.2,17.3,15.3,163,104.3,96.0,0.7,1.1,1.8,-1.9,6.7,4.8
