,Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
88,9981,D.J. Brown,SO,2012-13,G,San Jose State,WAC,29,952,32.8,2.4,8.1,1.0,3.6,1.4,4.5,2.9,3.9,0.7,2.7,3.3,3.7,1.0,0.0,2.3,1.9,9.2,11.2,.463,.393,2.1,10.6,5.9,24.2,1.9,0.1,18.6,18.4,285,96.0,106.2,0.6,0.7,1.3,-0.7,-1.2,-1.8
89,9982,Anthony Campbell,SR,2012-13,F,Austin Peay,OVC,30,930,31.0,5.0,10.8,2.8,5.1,2.1,5.7,2.5,2.9,1.2,3.7,4.9,1.9,0.8,0.0,2.4,1.3,14.6,19.0,.599,.559,4.5,14.6,9.5,13.6,1.5,0.0,16.4,23.7,398,110.6,111.1,2.2,0.2,2.5,2.6,-4.5,-1.8
90,9983,Jalen Carethers,JR,2013-14,F,Radford,Big South,35,555,15.9,2.4,4.7,2.4,4.6,0.0,0.0,1.3,1.8,1.1,2.0,3.1,0.4,0.5,1.3,0.5,2.5,6.1,19.8,.553,.515,8.2,15.1,11.6,4.7,1.7,8.2,8.9,19.2,205,117.9,105.1,1.2,0.7,1.9,-2.2,0.4,-1.8
91,9984,Antwan Carter,JR,2010-11,C,Longwood,Ind,31,1007,32.5,7.6,13.4,7.4,12.2,0.3,1.2,2.6,3.9,2.3,7.1,9.5,1.6,0.9,0.7,2.1,3.4,18.2,24.6,.600,.583,7.8,24.4,16.1,11.1,1.5,2.1,12.3,25.6,506,114.3,108.0,2.9,0.7,3.6,1.0,-2.9,-1.8
92,9985,Darion Clark,FR,2012-13,F,Charlotte,A-10,32,562,17.6,2.4,4.5,2.4,4.5,0.0,0.0,1.3,2.9,1.6,3.0,4.6,0.4,0.3,0.6,1.8,1.9,6.2,14.3,.527,.542,10.4,21.3,15.7,5.4,0.8,3.8,23.0,21.4,189,92.0,99.3,0.2,0.8,1.0,-3.1,1.3,-1.8
93,9986,Andre Coimbra,SR,2011-12,F,Central Michigan,MAC,32,889,27.8,2.9,6.7,2.5,5.3,0.4,1.4,1.6,2.3,2.1,3.3,5.4,0.6,0.9,1.0,2.0,3.9,7.9,13.0,.508,.470,8.2,16.1,11.7,4.9,2.1,4.6,20.2,18.5,248,94.6,102.0,0.4,1.0,1.5,-2.7,0.9,-1.8
94,9987,Anthony Collins,JR,2014-15,G,South Florida,AAC,32,1084,33.9,2.8,6.4,2.6,5.5,0.3,0.9,1.2,1.8,0.3,2.3,2.6,5.2,1.5,0.1,2.4,2.3,7.1,12.2,.490,.461,1.1,7.7,4.5,31.4,2.8,0.3,24.6,15.2,282,97.3,107.3,0.6,0.9,1.5,-0.7,-1.1,-1.8
95,9988,Darell Combs,JR,2015-16,G,IUPUI,Summit,31,950,30.6,5.3,12.5,3.5,8.0,1.9,4.5,3.8,5.0,0.4,1.9,2.3,2.2,1.0,0.0,3.3,3.0,16.3,15.4,.549,.503,1.4,7.2,4.2,16.5,1.9,0.1,18.0,29.6,464,99.5,109.2,1.0,0.7,1.8,0.6,-2.4,-1.8
96,9989,Frankie Dobbs,SO,2010-11,G,Bryant,NEC,30,1097,36.6,3.7,9.1,1.6,3.8,2.1,5.3,2.9,3.6,0.4,2.9,3.2,5.3,1.1,0.1,2.8,2.0,12.4,15.9,.573,.520,1.1,9.3,5.1,30.5,1.7,0.2,20.8,19.3,402,109.9,114.7,2.2,0.0,2.2,2.2,-4.0,-1.8
97,9990,Krys Faber,JR,2010-11,C,DePaul,Big East,31,745,24.0,2.6,5.4,2.5,5.3,0.0,0.0,1.8,2.8,2.0,3.3,5.3,0.5,0.6,0.5,1.6,3.4,7.0,12.1,.523,.485,9.1,17.6,13.0,4.0,1.4,2.1,19.1,17.2,214,97.7,110.0,0.5,0.4,0.9,-1.8,0.0,-1.8
98,9991,Darnell Foreman,JR,2016-17,G,Pennsylvania,Ivy,28,801,28.6,3.0,7.4,2.1,4.9,0.8,2.5,1.5,2.1,0.4,3.0,3.4,3.4,0.8,0.1,1.7,2.5,8.3,11.7,.493,.459,1.6,11.9,6.8,22.7,1.6,0.3,17.0,18.4,254,101.1,103.9,0.7,1.0,1.7,-1.6,-0.2,-1.8
