Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,All_Rookie,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2014,NBA,2,32,PHI,K.J. McDaniels,21.142,G-F,us,Clemson University,2015,2017,,148,14.1,5.3,2.2,0.6,0.5,0.6,0.412,0.479,0.29,0.776,1.3,0.03
2015,NBA,1,2,LAL,D'Angelo Russell,19.127,G,us,Ohio State University,2016,2017,,143,28.5,14.3,3.5,4,1.3,0.2,0.408,0.447,0.351,0.759,1.3,0.016
2016,NBA,1,6,NOP,Buddy Hield,22.194,G,bs,University of Oklahoma,2017,2017,,82,23,10.6,3.3,1.5,0.5,0.1,0.426,0.46,0.391,0.842,1.3,0.032
2016,NBA,1,10,MIL,Thon Maker,19.123,F-C,ss,,2017,2017,,57,9.9,4,2,0.4,0.2,0.5,0.459,0.514,0.378,0.653,1.3,0.113
2016,NBA,1,28,PHO,Skal Labissiere,20.102,F,ht,University of Kentucky,2017,2017,,33,18.5,8.8,4.9,0.8,0.5,0.4,0.537,0.543,0.375,0.703,1.3,0.098
2012,NBA,2,46,NOH,Darius Miller,22.105,F,us,University of Kentucky,2013,2015,,102,14.3,3.1,1.3,0.9,0.4,0.2,0.42,0.483,0.351,0.841,1.2,0.04
2014,NBA,1,24,CHH,Shabazz Napier,22.353,G,us,University of Connecticut,2015,2017,,159,13.4,4.3,1.4,1.8,0.6,0,0.373,0.393,0.354,0.767,1.2,0.027
2011,NBA,2,53,ORL,DeAndre Liggins,23.089,G,us,University of Kentucky,2012,2017,,119,9.9,2.1,1.5,0.6,0.6,0.1,0.414,0.445,0.348,0.558,1.1,0.044
2013,NBA,1,29,OKC,Archie Goodwin,18.319,G,us,University of Kentucky,2014,2017,,165,14.5,6.3,2,1.2,0.4,0.2,0.429,0.484,0.236,0.7,1.1,0.022
2014,NBA,1,5,UTA,Dante Exum,18.353,G,au,,2015,2017,,148,20.6,5.4,1.8,2.1,0.4,0.2,0.385,0.471,0.308,0.743,1.1,0.017
2014,NBA,2,44,MIN,Markel Brown,22.154,G,us,Oklahoma State University,2015,2016,,109,16.2,5.3,2.1,1.2,0.6,0.2,0.382,0.427,0.297,0.781,1.1,0.031
2015,NBA,1,16,BOS,Terry Rozier,21.105,G,us,University of Louisville,2016,2017,,113,13.9,4.3,2.6,1.5,0.5,0.1,0.348,0.376,0.306,0.776,1.1,0.034
2016,NBA,1,12,UTA,Taurean Prince,22.099,F,us,Baylor University,2017,2017,,59,16.6,5.7,2.7,0.9,0.7,0.5,0.399,0.44,0.324,0.787,1.1,0.052
2016,NBA,2,32,LAL,Ivica Zubac,19.102,C,ba,,2017,2017,,38,16,7.5,4.2,0.8,0.4,0.9,0.529,0.536,0,0.653,1.1,0.086
